Player,Twitter,Tm,person,,,,,
Al Horford,Al_Horford,ATL,Jamie,,,,,
Dennis Schroder,DennisMike93,ATL,Jamie,,,,,
Jeff Teague,Teague0,ATL,Jamie,,,,,
Justin Holiday,NA,ATL,Jamie,,,,,
Kent Bazemore,KentBazemore20,ATL,Jamie,,,,,
Kyle Korver,KyleKorver,ATL,Jamie,,,,,
Lamar Patterson,LP21_,ATL,Jamie,,,,,
Mike Muscala,mikejawz,ATL,Jamie,,,,,
Mike Scott,mikescott,ATL,Jamie,,,,,
Paul Millsap,Paulmillsap4,ATL,Jamie,,,,,
Shelvin Mack,ShelvinMack,ATL,Jamie,,,,,
Thabo Sefolosha,ThaboSefolosha,ATL,Jamie,,,,,
Tiago Splitter,tiagosplitter,ATL,Jamie,,,,,
Tim Hardaway,TimHardawayFDN,ATL,Jamie,,,,,
Walter Tavares,waltertavares22,ATL,Jamie,,,,,
Amir Johnson,IamAmirJohnson,BOS,Jason,,,,,
Avery Bradley,Aabradley11,BOS,Jason,,,,,
David Lee,Dlee042,BOS,Jason,,,,,
Evan Turner,thekidet,BOS,Jason,,,,,
Isaiah Thomas,Isaiah_Thomas2,BOS,Jason,,,,,
Jae Crowder,CJC9BOSS,BOS,Jason,,,,,
James Young,realjamesyoung,BOS,Jason,,,,,
Jared Sullinger,Jared_Sully0,BOS,Jason,,,,,
Jonas Jerebko,JonasJerebko,BOS,Jason,,,,,
Jordan Mickey,Jmickey_02,BOS,Jason,,,,,
Kelly Olynyk,KellyOlynyk,BOS,Jason,,,,,
Marcus Smart,smart_MS3,BOS,Jason,,,,,
R.J. Hunter,RJHunter22,BOS,Jason,,,,,
Terry Rozier,T_Rozzay3,BOS,Jason,,,,,
Tyler Zeller,ZellerTyler,BOS,Jason,,,,,
Andrea Bargnani,AndreaBargnani,BRK,Mengfei,,,,,
Bojan Bogdanovic,NA,BRK,Mengfei,,,,,
Brook Lopez,BrookLopez1,BRK,Mengfei,,,,,
Donald Sloan,dsloan15,BRK,Mengfei,,,,,
Jarrett Jack,Jarrettjack03,BRK,Mengfei,,,,,
Joe Johnson,TheJoeJohnson2,BRK,Mengfei,,,,,
Markel Brown,iMarkelBrown22,BRK,Mengfei,,,,,
Rondae Hollis-Jefferson,RondaeHJ23,BRK,Mengfei,,,,,
Sergey Karasev,NA,BRK,Mengfei,,,,,
Shane Larkin,NA,BRK,Mengfei,,,,,
Thaddeus Young,yungsmoove21,BRK,Mengfei,,,,,
Thomas Robinson,Trobinson0,BRK,Mengfei,,,,,
Wayne Ellington,WayneElli22,BRK,Mengfei,,,,,
Willie Reed,NA,BRK,Mengfei,,,,,
Aaron Brooks,Thirty2zero,CHI,Jamie,,,,,
Bobby Portis,BPortistime,CHI,Jamie,,,,,
Cameron Bairstow,cbairstow41,CHI,Jamie,,,,,
Cristiano Felicio,NA,CHI,Jamie,,,,,
Derrick Rose,drose,CHI,Jamie,,,,,
Doug McDermott,dougmcd3,CHI,Jamie,,,,,
E'Twaun Moore,ETwaun55,CHI,Jamie,,,,,
Jimmy Butler,mr_2eight1,CHI,Jamie,,,,,
Joakim Noah,JoakimNoah,CHI,Jamie,,,,,
Kirk Hinrich,NA,CHI,Jamie,,,,,
Nikola Mirotic,threekola,CHI,Jamie,,,,,
Pau Gasol,paugasol,CHI,Jamie,,,,,
Taj Gibson,TajGibson22,CHI,Jamie,,,,,
Tony Snell,NA,CHI,Jamie,,,,,
Aaron Harrison,NA,CHO,Jason,,,,,
Al Jefferson,NA,CHO,Jason,,,,,
Brian Roberts,NA,CHO,Jason,,,,,
Cody Zeller,CodyZeller,CHO,Jason,,,,,
Frank Kaminsky,FSKPart3,CHO,Jason,,,,,
Jeremy Lamb,NA,CHO,Jason,,,,,
Jeremy Lin,JLin7,CHO,Jason,,,,,
Kemba Walker,KembaWalker,CHO,Jason,,,,,
Marvin Williams,NA,CHO,Jason,,,,,
Nicolas Batum,nicolas88batum,CHO,Jason,,,,,
P.J. Hairston,NA,CHO,Jason,,,,,
Spencer Hawes,spencerhawes00,CHO,Jason,,,,,
Troy Daniels,MrSuPeRsTar_30,CHO,Jason,,,,,
Tyler Hansbrough,THANS50,CHO,Jason,,,,,
Anderson Varejao,VAREJAOANDERSON,CLE,Mengfei,,,,,
Iman Shumpert,I_Am_Iman,CLE,Mengfei,,,,,
J.R. Smith,TheRealJRSmith,CLE,Mengfei,,,,,
James Jones,NA,CLE,Mengfei,,,,,
Jared Cunningham,J1Flight,CLE,Mengfei,,,,,
Joe Harris,joeharrisuva,CLE,Mengfei,,,,,
Kevin Love,kevinlove,CLE,Mengfei,,,,,
