Al Horford,Al_Horford,ATL,Jamie
Dennis Schroder,DennisMike93,ATL,Jamie
Jeff Teague,Teague0,ATL,Jamie
Justin Holiday,JustHolla7,ATL,Jamie
Kent Bazemore,None,ATL,Jamie
Kyle Korver,KyleKorver,ATL,Jamie
Lamar Patterson,LP21_,ATL,Jamie
Mike Muscala,mikemuscala,ATL,Jamie
Mike Scott,mikescott,ATL,Jamie
Paul Millsap,Paulmillsap4,ATL,Jamie
Shelvin Mack,ShelvinMack,ATL,Jamie
Thabo Sefolosha,ThaboSefolosha,ATL,Jamie
Tiago Splitter,tiagosplitter,ATL,Jamie
Tim Hardaway,TimHardawayFDN,ATL,Jamie
Walter Tavares,waltertavares22,ATL,Jamie
Aaron Brooks,Thirty2zero,CHI,Jamie
Bobby Portis,BPortistime,CHI,Jamie
Cameron Bairstow,cbairstow41,CHI,Jamie
Cristiano Felicio,felicio_21,CHI,Jamie
Derrick Rose,drose,CHI,Jamie
Doug McDermott,dougmcd3,CHI,Jamie
E'Twaun Moore,ETwaun55,CHI,Jamie
Jimmy Butler,JimmyButler,CHI,Jamie
Joakim Noah,JoakimNoah,CHI,Jamie
Kirk Hinrich,TheRealHinrich,CHI,Jamie
Nikola Mirotic,threekola,CHI,Jamie
Pau Gasol,paugasol,CHI,Jamie
Taj Gibson,TajGibson22,CHI,Jamie
Tony Snell,TonySnell20,CHI,Jamie
Chandler Parsons,ChandlerParsons,DAL,Jamie
Charlie Villanueva,CVBelieve,DAL,Jamie
Deron Williams,DeronWilliams,DAL,Jamie
Devin Harris,Dev34Harris,DAL,Jamie
Dirk Nowitzki,swish41,DAL,Jamie
Dwight Powell,DwightPowell33,DAL,Jamie
J.J. Barea,jjbareapr,DAL,Jamie
JaVale McGee,JaValeMcGee34,DAL,Jamie
Jeremy Evans,JeremyEvans40,DAL,Jamie
John Jenkins,JohnnyCashVU23,DAL,Jamie
Justin Anderson,JusAnderson1,DAL,Jamie
Raymond Felton,RFeltonGBMS,DAL,Jamie
Salah Mejri,50Mejri,DAL,Jamie
Wesley Matthews,WessyWes23,DAL,Jamie
Zaza Pachulia,zaza27,DAL,Jamie
Andre Iguodala,andre,GSW,Jamie
Andrew Bogut,andrewbogut,GSW,Jamie
Brandon Rush,BRush_25,GSW,Jamie
Draymond Green,Money23Green,GSW,Jamie
Festus Ezeli,festus,GSW,Jamie
Harrison Barnes,HBarnes,GSW,Jamie
Ian Clark,IanClark,GSW,Jamie
James Michael McAdoo,jamesmcadoo,GSW,Jamie
Jason Thompson,jtthekid,GSW,Jamie
Klay Thompson,KlayThompson,GSW,Jamie
Leandro Barbosa,TheBlurBarbosa,GSW,Jamie
Marreese Speights,Mospeights16,GSW,Jamie
Shaun Livingston,ShaunLivingston,GSW,Jamie
Stephen Curry,StephenCurry30,GSW,Jamie
Austin Rivers,AustinRivers25,LAC,Jamie
Blake Griffin,blakegriffin32,LAC,Jamie
Branden Dawson,whynot_22,LAC,Jamie
C.J. Wilcox,UCjwilcox23W,LAC,Jamie
Chris Paul,CP3,LAC,Jamie
Cole Aldrich,colea45,LAC,Jamie
DeAndre Jordan,deandrejordan6,LAC,Jamie
J.J. Redick,JJRedick,LAC,Jamie
Jamal Crawford,JCrossover,LAC,Jamie
Jeff Ayres,None,LAC,Jamie
Lance Stephenson,StephensonLance,LAC,Jamie
Luc Mbah a Moute,mbahamoute,LAC,Jamie
Pablo Prigioni,PPrigioni9,LAC,Jamie
Paul Pierce,paulpierce34,LAC,Jamie
Wesley Johnson,WesJohnson4,LAC,Jamie
Amar'e Stoudemire,Amareisreal,MIA,Jamie
Chris Andersen,Birdmandersen,MIA,Jamie
Chris Bosh,chrisbosh,MIA,Jamie
Dwyane Wade,DwyaneWade,MIA,Jamie
Gerald Green,None,MIA,Jamie
Goran Dragic,Goran_Dragic,MIA,Jamie
Hassan Whiteside,youngwhiteside,MIA,Jamie
Josh McRoberts,None,MIA,Jamie
Josh Richardson,J_Rich1,MIA,Jamie
Justise Winslow,IAmJustise,MIA,Jamie
Luol Deng,LuolDeng9,MIA,Jamie
Mario Chalmers,mchalmers15,MIA,Jamie
Tyler Johnson,RealTJohnson,MIA,Jamie
Udonis Haslem,ThisIsUD,MIA,Jamie
Alexis Ajinca,AjincaAlexis42,NOP,Jamie
Alonzo Gee,GeeAlonzo,NOP,Jamie
Anthony Davis,AntDavis23,NOP,Jamie
Bryce Dejean-Jones,B2nyce,NOP,Jamie
Dante Cunningham,DlamarC33,NOP,Jamie
Eric Gordon,TheofficialEG10,NOP,Jamie
Jimmer Fredette,jimmerfredette,NOP,Jamie
